DATE|Bit Rate (Mbps)|Frame Rate(Fps)|Dropped Frame Count|Dropped Frames
Wed Feb  1 16:50:15 2017|7.03157196045|13.1|3|[2569, 2572, 2567]
Wed Feb  1 16:50:25 2017|7.71221618652|13.3|18|[2720, 2593, 2692, 2725, 2694, 2726, 2601, 2698, 2702, 2717, 2704, 2706, 2709, 2677, 2583, 2586, 2682, 2687]
Wed Feb  1 16:50:35 2017|7.33286132813|11.7|36|[2819, 2822, 2826, 2829, 2833, 2834, 2841, 2842, 2848, 2850, 2859, 2732, 2734, 2736, 2739, 2742, 2747, 2749, 2750, 2754, 2757, 2761, 2765, 2768, 2772, 2773, 2777, 2781, 2784, 2792, 2796, 2803, 2808, 2810, 2813, 2815]
Wed Feb  1 16:50:45 2017|7.67975158691|15.4|0|[]
Wed Feb  1 16:50:55 2017|5.46251983643|11.7|16|[3138, 3139, 3140, 3141, 3143, 3144, 3146, 3148, 3150, 3151, 3154, 3155, 3158, 3160, 3161, 3166]
Wed Feb  1 16:51:05 2017|7.96252975464|14.7|16|[3200, 3201, 3234, 3173, 3206, 3175, 3209, 3211, 3180, 3181, 3182, 3213, 3184, 3191, 3224, 3197]
Wed Feb  1 16:51:15 2017|8.60025863647|15.1|0|[]
Wed Feb  1 16:51:25 2017|8.26847305298|14.3|0|[]
Wed Feb  1 16:51:35 2017|8.19004592896|15.3|5|[3683, 3659, 3651, 3669, 3638]
Wed Feb  1 16:51:45 2017|8.1728729248|13.9|3|[3922, 3917, 3919]
Wed Feb  1 16:51:55 2017|7.98695755005|15.0|5|[4024, 3940, 3947, 3932, 3949]
Wed Feb  1 16:52:05 2017|6.7907043457|14.0|0|[]
Wed Feb  1 16:52:15 2017|7.22191314697|12.7|30|[4227, 4228, 4230, 4232, 4236, 4239, 4368, 4242, 4244, 4247, 4249, 4251, 4256, 4261, 4263, 4264, 4265, 4268, 4273, 4278, 4279, 4280, 4291, 4292, 4296, 4314, 4323, 4324, 4333, 4335]
Wed Feb  1 16:52:25 2017|6.31242904663|10.6|41|[4481, 4483, 4487, 4488, 4493, 4496, 4497, 4502, 4504, 4507, 4511, 4517, 4518, 4524, 4397, 4404, 4405, 4409, 4412, 4415, 4416, 4418, 4423, 4425, 4430, 4433, 4442, 4445, 4447, 4453, 4455, 4460, 4463, 4464, 4465, 4467, 4469, 4473, 4475, 4477, 4479]
Wed Feb  1 16:52:36 2017|7.35032043457|14.1|12|[4640, 4643, 4548, 4646, 4553, 4530, 4675, 4628, 4663, 4536, 4634, 4635]
Wed Feb  1 16:52:46 2017|8.38759460449|14.4|4|[4820, 4826, 4827, 4684]
Wed Feb  1 16:52:56 2017|8.44328384399|14.9|9|[4866, 4836, 4869, 4907, 4844, 4885, 4886, 4855, 4893]
Wed Feb  1 16:53:06 2017|8.16869812012|14.4|0|[]
Wed Feb  1 16:53:16 2017|7.43768920898|11.5|33|[5248, 5252, 5254, 5258, 5261, 5263, 5267, 5268, 5143, 5147, 5276, 5150, 5156, 5162, 5168, 5171, 5178, 5182, 5187, 5192, 5197, 5203, 5207, 5211, 5217, 5222, 5228, 5230, 5236, 5237, 5240, 5243, 5247]
